year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2015,701054000,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,43.4909020936,653.131387174,1091.98152621,240,5689.250138888883,5,50.61124999999999,55266.55001839589
2015,224770000,FALSE,TRUE,Spain,ESP,unknown_fishing,trawlers,trawlers,70.9337156759,2307.68252879,2770.39961364,189,4136.860416666676,149,2744.224166666668,7602597.5710748695
2014,701000662,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,53.0032154759,822.219773924,1819.88955314,198,4467.032499999997,114,2186.834305555554,3979796.9071287224
2015,412420316,TRUE,FALSE,China,CHN,NA,cargo_or_tanker,cargo,25.7194134708,237.458098592,564.537920016,13,200.82430555555555,4,24.789861111111115,13994.816629152194
2014,701000808,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,51.4823835614,1093.55185812,2173.99397977,59,1220.4823611111124,26,519.2824999999999,1128917.0287999148
2016,416312000,TRUE,TRUE,Taiwan,TWN,NA,squid_jigger,squid_jigger,63.8787440067,1012.64455751,1841.18095258,52,1205.7709722222382,50,846.6626388889014,1558859.1239833795
2014,701000729,FALSE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,36.8462062276,583.153996544,1110.37667029,272,6475.111527777771,141,2535.6961111111086,2815577.8047228577
2016,412420649,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,58.208651602,732,988.814578342,6,43.24972222222222,3,22.66111111111111,22407.63702809454
2014,440811000,TRUE,TRUE,South Korea,KOR,unknown,squid_jigger,squid_jigger,61.72,539,1194,101,2343.5604166666694,49,537.7643055555554,642090.5808333337
2015,412694470,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,66.72,1273,1250,19,213.305138888889,6,28.55,35687.49999999999
2015,701000623,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,56.7212121398,811.246320843,1392.18420216,132,3058.996388888877,67,894.949722222221,1245934.8650052529
2015,701000577,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,39.3858896428,790.313534027,1073.40249352,345,8140.853611111087,176,3671.8098611111063,3941329.860648007
