lat_bin_center,lon_bin_center,fishing_days,fishing_hours,fishing_kwh
-41.875,-62.625,7,61.171527777777776,49474.094971005725
-34.875,-57.625,1,14.769444444444447,6442.327803340037
-47.125,-63.125,12,248.95069444444434,317348.8721427493
-42.375,-58.625,8,66.32902777777777,87362.65466426732
-40.375,-56.625,1,2.7236111111111105,4310.282126379778
-39.375,-58.875,2,40.11583333333334,58313.71616655127
-44.125,-62.375,26,1141.8816666666671,1776113.3453669122
-45.875,-63.625,18,333.71430555555554,461015.23893860925
-46.125,-63.375,25,359.64874999999995,520874.03284433245
-45.375,-63.625,35,316.0566666666666,492991.91853290907
-44.125,-63.625,89,4288.253055555558,6128256.764519127
-41.375,-60.625,32,203.11402777777775,251196.95744108062
-43.125,-60.375,1,0.8345833333333333,732.4299954889925
-40.875,-60.625,5,13.112499999999997,13688.493501610978
-40.125,-60.375,1,0.6269444444444445,635.9261090369333
-42.625,-62.125,4,11.236666666666666,17808.330746299325
-37.625,-56.625,22,75.58680555555556,42345.7568850065
-40.875,-58.625,16,98.19111111111111,85266.86228885282
-40.625,-57.375,10,115.11819444444441,170447.31638824823
-46.125,-67.375,1,0.2718055555555555,250.72468722244218
-48.375,-60.875,11,73.31625000000001,83250.39100969248
-47.375,-62.375,8,40.39208333333334,45865.88964881898
-45.625,-61.375,9,29.89375,33860.31273952801
-45.375,-61.625,11,52.069166666666675,59002.39283127697
-44.875,-61.125,4,56.089583333333316,86757.50041238582
-39.875,-58.125,7,42.585972222222225,44297.07603443191
-40.125,-56.875,25,364.2126388888889,466218.17617632117
-45.625,-61.875,64,666.6155555555557,983371.1587760167
-50.875,-68.625,84,803.7881944444448,1303442.786142613
-49.125,-67.625,8,42.39930555555555,54569.685007418884
-46.625,-61.625,21,160.20569444444442,310035.23207665177
-44.375,-61.375,52,391.72638888888895,560279.519472568
-40.875,-59.125,26,308.8619444444445,355714.0231100522
-37.875,-56.375,2,4.475694444444445,2441.686874755672
-46.875,-61.125,22,155.82583333333332,266440.143601008
-47.125,-61.875,39,205.5869444444446,400013.47744746774
-47.125,-61.375,16,131.08888888888885,194369.9460380608
-36.125,-55.625,5,34.08708333333334,21329.880750307035
-44.375,-63.375,23,244.7968055555558,289112.2484399133
-47.125,-65.375,1,1.5536111111111113,2272.6079822390975
-46.625,-65.125,1,0.8277777777777778,1357.978414219611
-35.875,-55.875,2,13.908055555555556,8702.920210792803
-46.375,-67.125,2,0.9629166666666666,713.7342249368888
-40.375,-59.875,6,20.609166666666667,22613.342361606163
-44.375,-64.375,7,25.215694444444452,21378.57057630954
-46.375,-63.625,6,40.26777777777778,50861.1279745891
-35.875,-56.625,11,70.85041666666665,35750.22228473851
-41.375,-56.625,3,13.961249999999998,10920.591642581125
-39.625,-56.125,1,10.265138888888888,8029.466556356666
-46.625,-63.125,2,2.7950000000000017,2712.735838743971
-52.875,-65.125,1,2.609861111111111,2970.6192287762838
-45.875,-61.625,8,72.99638888888889,96484.51866291833
-46.125,-61.875,7,81.12680555555556,109141.46830864047
-46.875,-63.375,14,319.3455555555556,375358.93896682333
-46.875,-62.625,5,45.80972222222222,62970.76433424352
-46.625,-63.125,5,50.93569444444444,80585.57581440394
-41.125,-61.625,1,4.495277777777778,4679.950562778019
-37.375,-56.125,2,15.357499999999998,9609.905324534178
-48.375,-62.125,4,24.242916666666662,47651.68491246195
-53.125,-64.625,3,19.94,22671.953033549766
-42.625,-61.375,11,122.48861111111111,176050.98344643865
-41.875,-60.625,2,9.071527777777776,16181.12276358442
-44.625,-62.625,2,7.12888888888889,11038.183852267555
-43.375,-59.375,1,0.3881944444444444,575.5394670723749
-41.625,-60.875,1,3.474722222222222,5151.64450347645
-43.375,-59.625,2,16.19277777777777,22365.639391272864
-41.875,-58.125,1,3.3975,4692.663659976301
-42.875,-61.125,2,17.676388888888894,24414.81906651884
-44.875,-61.625,1,3.950555555555556,5456.549960933934
-43.625,-63.375,7,34.17666666666666,39961.77534182929
-43.375,-62.875,1,11.755833333333326,13745.751603120681
-44.875,-63.375,2,9.591388888888888,11214.930108082372
-45.875,-66.375,32,143.29569444444454,102130.59787027245
-39.625,-56.625,5,31.605,43870.459330328034
-47.125,-61.125,3,18.207638888888876,28779.611493862336
-49.625,-63.875,3,15.343333333333334,17054.28692227956
-49.375,-63.875,6,20.97277777777777,24977.551453538093
-50.875,-68.625,44,363.0916666666669,452642.69819275464
-42.125,-63.875,4,84.07180555555557,118300.6123187439
-44.625,-60.625,1,2.154444444444445,3610.7466708628785
-47.625,-61.125,14,98.36680555555549,228228.5811002493
-45.375,-64.625,9,8.470555555555556,8600.730194789985
-37.625,-54.875,3,19.698888888888884,17287.73691466047
-41.875,-58.625,7,34.146666666666675,34037.44600688904
-52.375,-64.375,1,8.324444444444445,9199.104990213646
-43.375,-63.625,1,2.4216666666666673,2458.7599949526
