lat_bin_center,lon_bin_center,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,fishing_days,fishing_hours,fishing_kwh
-41.875,-62.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,7,61.171527777777776,49474.094971005725
-45.875,-60.625,China,CHN,NA,cargo_or_tanker,tanker,3,15.135833333333334,21125.482414231115
-48.875,-60.125,Taiwan,TWN,NA,squid_jigger,squid_jigger,0,0,0
-51.625,-61.875,Spain,ESP,trawlers,trawlers,trawlers,7,14.334722222222222,20363.140367720764
-50.875,-58.125,Taiwan,TWN,NA,squid_jigger,squid_jigger,0,0,0
-54.875,-56.125,China,CHN,NA,drifting_longlines,drifting_longlines,0,0,0
-40.625,-57.375,Argentina,ARG,unknown_not_fishing,reefer,reefer,0,0,0
-34.875,-57.625,Argentina,ARG,unknown_fishing,fixed_gear,set_gillnets,1,14.769444444444447,6442.327803340037
-50.625,-61.625,Spain,ESP,trawlers,trawlers,trawlers,29,122.87305555555554,168551.3311374181
-47.125,-63.125,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,12,248.95069444444434,317348.8721427493
-42.375,-58.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,8,66.32902777777777,87362.65466426732
-42.875,-63.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-41.875,-60.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-42.875,-64.125,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-40.375,-58.125,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-41.375,-58.375,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-35.375,-56.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-40.375,-56.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,1,2.7236111111111105,4310.282126379778
-39.375,-58.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,2,40.11583333333334,58313.71616655127
-42.125,-60.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-48.125,-59.625,South Korea,KOR,unknown,squid_jigger,squid_jigger,0,0,0
-50.375,-61.375,Taiwan,TWN,NA,squid_jigger,squid_jigger,2,4.451527777777782,11954.923840349102
-53.125,-62.125,Spain,ESP,trawlers,trawlers,trawlers,48,497.1723611111123,579516.8466168125
-44.125,-62.375,Argentina,ARG,unknown_fishing,trawlers,trawlers,26,1141.8816666666671,1776113.3453669122
-45.875,-63.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,18,333.71430555555554,461015.23893860925
-46.125,-63.375,Argentina,ARG,unknown_fishing,trawlers,trawlers,25,359.64874999999995,520874.03284433245
