MPA_id,fishing hours in 2014,fishing hours in 2015,fishing hours in 2016
all,93132.5 (21.9%),93224.03 (21.15%),89446.33 (18.05%)
3,29987.05 (13.77%),28420.18 (13.14%),32440.42 (13.48%)
11,23241.41 (9.26%),16812 (6.33%),17708.83 (6.47%)
10,13991.48 (6.91%),22830.68 (10.34%),13619.86 (5.25%)
4,6355.61 (5.15%),7305.82 (5.51%),11534.28 (6.65%)
12,12395.62 (5.57%),9841.21 (4%),7960.36 (3.11%)
6,3984.66 (13.49%),3107.96 (8.62%),4060.56 (17.53%)
8,890.11 (4.94%),3235.14 (12.95%),1148.32 (6.09%)
14,89.85 (0.31%),123.03 (0.39%),393.87 (0.88%)
13,287.43 (2.68%),426.52 (1.2%),245.66 (0.9%)
2,602.2 (0.86%),464.92 (0.67%),191.52 (0.37%)
1,289.59 (0.63%),245.45 (0.53%),55.75 (0.13%)
7,47.37 (0.21%),48.84 (0.39%),55.36 (0.47%)
5,970.11 (5.38%),362.29 (2.18%),31.55 (0.5%)
