MPA_id,vessels in 2014,vessels in 2015,vessels in 2016
all,200 (89.3%),199 (82.6%),229 (90.9%)
11,107 (47.8%),108 (44.8%),121 (48%)
10,85 (37.9%),92 (38.2%),117 (46.4%)
3,111 (49.6%),106 (44%),115 (45.6%)
12,94 (42%),100 (41.5%),113 (44.8%)
4,45 (20.1%),46 (19.1%),81 (32.1%)
14,9 (4%),12 (5%),18 (7.1%)
2,28 (12.5%),22 (9.1%),13 (5.2%)
1,15 (6.7%),14 (5.8%),11 (4.4%)
13,5 (2.2%),14 (5.8%),11 (4.4%)
6,9 (4%),8 (3.3%),7 (2.8%)
8,5 (2.2%),5 (2.1%),5 (2%)
7,7 (3.1%),2 (0.8%),3 (1.2%)
5,5 (2.2%),3 (1.2%),2 (0.8%)
